"","Study_ID","Tissue","Euthermia_M","n"
"1","Study_765","Plasma",25.9310344827586,15
"2","Study_951","Plasma",44.4668008048289,10
"3","Study_1412","Plasma",28.8397790055248,8
"4","Study_1412","Plasma",40,8
"5","Study_1901","Plasma",12.5615763546798,4
"6","Study_1901","Plasma",24.6305418719211,4
"7","Study_1901","Plasma",50.1204819277108,2
"8","Study_1901","Plasma",62.1686746987951,2
